Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
3/9/2019,135.07,135.66,134.17,134.51,18869300,0,0
4/9/2019,135.75,136.14,134.94,136.08,17995900,0,0
5/9/2019,137.54,138.8,137.2,138.47,26101800,0,0
6/9/2019,138.45,138.6,136.64,137.53,20824500,0,0
9/9/2019,138.02,138.18,134.92,135.97,25773900,0,0
10/9/2019,135.26,135.35,133,134.55,28903400,0,0
11/9/2019,134.38,134.74,133.57,134.59,24726100,0,0
12/9/2019,136.3,136.86,135.33,135.97,27010000,0,0
13/9/2019,136.23,136.51,135.03,135.77,23363100,0,0
16/9/2019,134.3,135.16,134.13,134.8,16731400,0,0
17/9/2019,135.42,135.97,134.89,135.84,17814200,0,0
18/9/2019,135.81,137.11,134.99,136.96,23982100,0,0
19/9/2019,138.72,140.77,138.49,139.48,35772100,0,0
20/9/2019,139.42,140.06,136.69,137.87,39167300,0,0
23/9/2019,137.66,138.06,136.88,137.57,17139300,0,0
24/9/2019,138.78,139.11,135.34,135.83,29773200,0,0
25/9/2019,135.95,138.38,134.5,137.79,21382000,0,0
26/9/2019,137.87,138.6,136.88,137.97,17456600,0,0
27/9/2019,138.57,138.78,135.11,136.18,22477700,0,0
30/9/2019,136.5,137.65,136.23,137.47,17280900,0,0
1/10/2019,138.09,138.67,135.46,135.53,21466600,0,0
2/10/2019,134.72,134.83,132.08,133.13,30521700,0,0
3/10/2019,133.43,135.21,131.72,134.75,24132900,0,0
4/10/2019,135.21,136.69,134.88,136.57,22897700,0,0
7/10/2019,135.6,136.62,135.48,135.58,15303700,0,0
8/10/2019,135.54,136.21,134.09,134.14,25550500,0,0
9/10/2019,135.91,137.14,135.43,136.68,19749900,0,0
10/10/2019,136.93,138.1,136.69,137.53,17654600,0,0
11/10/2019,138.54,139.44,137.93,138.11,25446000,0,0
14/10/2019,138.12,138.71,137.95,137.98,13304300,0,0
15/10/2019,138.48,140.19,138.24,139.98,19695700,0,0
16/10/2019,139.21,139.4,137.96,138.83,20751600,0,0
17/10/2019,139.36,139.83,137.46,138.12,21460600,0,0
18/10/2019,138.19,138.42,135.02,135.86,32273500,0,0
21/10/2019,136.89,136.94,135.47,136.87,20078200,0,0
22/10/2019,137.41,138.43,134.73,134.83,27431000,0,0
23/10/2019,135.34,135.9,134.08,135.7,29844600,0,0
24/10/2019,137.82,138.84,137.11,138.36,37029300,0,0
25/10/2019,137.77,139.55,137.63,139.15,25959700,0,0
28/10/2019,142.77,144.03,141.89,142.57,35280100,0,0
29/10/2019,142.46,142.87,141.04,141.22,20589500,0,0
30/10/2019,141.9,143.37,141.18,142.98,18496600,0,0
31/10/2019,143.27,143.3,141.38,141.76,24605100,0,0
1/11/2019,142.64,142.79,141.36,142.1,33128400,0,0
4/11/2019,143.2,143.37,142.54,142.92,16912000,0,0
5/11/2019,143.34,143.39,142.29,142.83,18250200,0,0
6/11/2019,142.74,142.89,141.59,142.44,16575800,0,0
7/11/2019,142.22,143.25,142.15,142.64,17786700,0,0
8/11/2019,142.36,144.35,142.14,144.32,16732700,0,0
11/11/2019,143.7,144.77,143.1,144.47,14362600,0,0
12/11/2019,144.63,145.91,144.42,145.41,18641600,0,0
13/11/2019,145.09,145.8,144.63,145.65,16919200,0,0
14/11/2019,145.37,146.74,145.35,146.39,19729800,0,0
15/11/2019,147.25,148.3,146.6,148.28,23485700,0,0
18/11/2019,148.38,148.86,147.3,148.65,21534000,0,0
19/11/2019,149.18,149.63,148.51,148.7,23935700,0,0
20/11/2019,149.12,149.65,147.29,148.44,25696800,0.51,0
21/11/2019,148.22,148.62,147.33,148.3,18576100,0,0
22/11/2019,148.89,149.11,147.65,148.41,15901800,0,0
25/11/2019,148.82,150.16,148.74,150.04,22420900,0,0
26/11/2019,150.17,151.22,150.13,150.83,24620100,0,0
27/11/2019,151.13,151.3,150.32,151.12,15184400,0,0
29/11/2019,150.9,151.1,150.09,150.19,11977300,0,0
2/12/2019,150.61,150.63,147.15,148.37,27418400,0,0
3/12/2019,146.33,148.25,145.49,148.13,24066000,0,0
4/12/2019,148.96,148.99,148.02,148.67,17574700,0,0
5/12/2019,148.87,149.13,148.3,148.75,17869100,0,0
6/12/2019,149.8,150.67,149.08,150.55,16403500,0,0
9/12/2019,149.88,151.01,149.72,150.17,16687400,0,0
10/12/2019,150.1,150.69,149.57,149.94,16476100,0,0
11/12/2019,150.34,150.67,149.14,150.5,18856600,0,0
12/12/2019,150.45,152.23,149.83,152.03,24612100,0,0
13/12/2019,151.79,153.67,151.62,153.31,23845400,0,0
16/12/2019,153.89,154.67,153.6,154.3,24144200,0,0
