zip,98052-6399
sector,Technology
fullTimeEmployees,163000
longBusinessSummary,"Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide. Its Productivity and Business Processes segment offers Office, Exchange, SharePoint, Microsoft Teams, Office 365 Security and Compliance, and Skype for Business, as well as related Client Access Licenses (CAL); Skype, Outlook.com, and OneDrive; LinkedIn that includes Talent, Learning, Sales, and Marketing solutions, as well as premium subscriptions; and Dynamics 365, a set of cloud-based and on-premises business solutions for small and medium businesses, large organizations, and divisions of enterprises. Its Intelligent Cloud segment licenses SQL and Windows Servers, Visual Studio, System Center, and related CALs; GitHub that provides a collaboration platform and code hosting service for developers; and Azure, a cloud platform. It also offers support services and Microsoft consulting services to assist customers in developing, deploying, and managing Microsoft server and desktop solutions; and training and certification to developers and IT professionals on various Microsoft products. Its More Personal Computing segment provides Windows original equipment manufacturer (OEM) licensing and other non-volume licensing of the Windows operating system; Windows Commercial, such as volume licensing of the Windows operating system, Windows cloud services, and other Windows commercial offerings; patent licensing; Windows Internet of Things; and MSN advertising. It also offers Surface, PC accessories, PCs, tablets, gaming and entertainment consoles, and other intelligent devices; Gaming, including Xbox hardware, and Xbox content and services; video games and third-party video game royalties; and Search, including Bing and Microsoft advertising. It sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online stores, and retail stores. The company was founded in 1975 and is headquartered in Redmond, Washington."
city,Redmond
phone,425-882-8080
state,WA
country,United States
companyOfficers,[]
website,http://www.microsoft.com
maxAge,1
address1,One Microsoft Way
industry,Software—Infrastructure
previousClose,231.65
regularMarketOpen,229.27
twoHundredDayAverage,186.15259
trailingAnnualDividendYield,0.008806389
payoutRatio,0.3455
volume24Hr,
regularMarketDayHigh,229.31
navPrice,
averageDailyVolume10Day,32575525
totalAssets,
regularMarketPreviousClose,231.65
fiftyDayAverage,211.94333
trailingAnnualDividendRate,2.04
open,229.27
toCurrency,
averageVolume10days,32575525
expireDate,
yield,
algorithm,
dividendRate,2.04
exDividendDate,1597795200
beta,0.893534
circulatingSupply,
startDate,
regularMarketDayLow,218.351
priceHint,2
currency,USD
trailingPE,38.23611
regularMarketVolume,22557212
lastMarket,
maxSupply,
openInterest,
marketCap,1.6667E+12
volumeAllCurrencies,
strikePrice,
averageVolume,34373887
priceToSalesTrailing12Months,11.6540165
dayLow,218.351
ask,220.27
ytdReturn,
askSize,800
volume,22557212
fiftyTwoWeekHigh,232.86
forwardPE,30.00545
fromCurrency,
fiveYearAvgDividendYield,1.83
fiftyTwoWeekLow,132.52
bid,220.27
tradeable,FALSE
dividendYield,0.0088
bidSize,1000
dayHigh,229.31
exchange,NMS
shortName,Microsoft Corporation
longName,Microsoft Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,FALSE
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,MSFT
messageBoardId,finmb_21835
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,11.878
beta3Year,
profitMargins,0.30962
enterpriseToEbitda,26.03
52WeekChange,0.654052
morningStarRiskRating,
forwardEps,7.34
revenueQuarterlyGrowth,
sharesOutstanding,7567649792
fundInceptionDate,
annualReportExpenseRatio,
bookValue,15.626
sharesShort,29634174
sharesPercentSharesOut,0.0039
fundFamily,
lastFiscalYearEnd,1593475200
heldPercentInstitutions,0.74093
netIncomeToCommon,44280999936
trailingEps,5.76
lastDividendValue,
SandP52WeekChange,0.20323932
priceToBook,14.094458
heldPercentInsiders,0.014249999
nextFiscalYearEnd,1656547200
mostRecentQuarter,1593475200
shortRatio,0.82
sharesShortPreviousMonthDate,1594771200
floatShares,7455954378
enterpriseValue,1.69866E+12
threeYearAverageReturn,
lastSplitDate,1045526400
lastSplitFactor,2:01
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,-0.151
dateShortInterest,1597363200
pegRatio,2.39
lastCapGain,
shortPercentOfFloat,0.004
sharesShortPriorMonth,39894144
category,
fiveYearAverageReturn,
regularMarketPrice,229.27
logo_url,https://logo.clearbit.com/microsoft.com
